Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
565	3	0.331	63	60	70	63	60.3	69.3
564	3	0.345	48	50	69	48	50.3	68.7
563	3	0.331	49	41	68	48	40.7	67.7
562	3	0.335	21	39	65	21.3	39.3	65.7
561	3	0.324	41	69	64	42	69.3	64.3
560	3	0.345	22	65	64	21.7	64.3	64.3
559	3	0.349	20	48	63	20	48.3	62.4
558	3	0.324	43	72	63	42.3	72	62
557	3	0.331	23	76	60	23.7	76.3	60
556	3	0.324	43	80	59	43	80.3	59
555	3	0.331	36	71	58	36	71.3	58.3
554	3	0.324	64	26	59	64.7	25.3	58.7
553	3	0.335	56	89	53	56	89	54
552	3	0.335	70	78	52	70	77.3	52
551	3	0.324	68	30	52	68	30.3	52.3
550	3	0.338	52	72	50	51.7	72.7	50.3
549	3	0.331	51	85	48	51.3	84.7	48.3
548	3	0.331	63	87	41	63.3	86.7	41.7
547	3	0.342	35	38	39	34.7	38	39.3
546	3	0.324	44	45	39	43	45.3	38.7
545	3	0.32	40	83	37	40.3	83.3	37
544	3	0.331	53	71	37	53	72	37.3
543	3	0.335	57	15	36	57.3	15.3	36
542	3	0.331	49	20	37	49	20	36
541	3	0.327	55	98	34	54	98	33.7
540	3	0.327	77	62	33	76.7	62.7	33.3
539	3	0.331	45	36	34	45.7	36.3	33.7
538	3	0.331	32	61	32	32.3	60.3	32.3
537	3	0.335	67	88	28	67	88.7	29
536	3	0.335	58	31	29	58	30.3	28.7
535	3	0.327	57	26	28	57.3	25.3	28
534	3	0.335	55	54	26	54	54	25.7
533	3	0.335	40	34	24	40.3	33.3	24.3
532	3	0.331	37	34	23	36.7	34	22.3
531	3	0.342	73	39	20	72.3	39	20
530	3	0.331	58	72	14	57.3	72	14.3
529	3	0.338	24	25	12	23.7	25.7	12
528	3	0.324	62	43	9	62.7	43.7	10
527	2	0.324	48	54	73	47.5	54	73.5
526	2	0.331	57	48	73	56.5	47.5	73.5
525	2	0.327	40	71	69	40.5	71	69
524	2	0.32	33	65	68	33	65.5	68
523	2	0.335	21	48	65	20.5	48.5	65
522	2	0.324	33	52	64	33.5	52	64
521	2	0.342	16	40	63	16	40.5	63
520	2	0.331	27	74	62	26.5	74	62
519	2	0.324	71	65	62	71	65	61.5
518	2	0.331	59	81	60	58.5	81.5	60
517	2	0.327	72	62	61	71.5	62	60.5
516	2	0.331	37	23	60	36.5	23	60
515	2	0.327	56	83	59	56	83	59.5
514	2	0.327	24	59	60	24	59	59.5
513	2	0.335	47	90	59	46.5	89.5	58.5
512	2	0.331	19	30	59	19	29.5	58.5
511	2	0.32	54	90	56	53.5	89.5	56.5
510	2	0.324	51	78	56	51	77.5	56.5
509	2	0.324	39	74	56	39.5	74	56
508	2	0.327	65	55	56	64.5	54.5	56
507	2	0.338	27	23	56	27	23.5	56
506	2	0.331	74	32	54	74	31.5	54
505	2	0.327	42	59	53	42	59	53.5
504	2	0.338	19	54	53	19	54	53.5
503	2	0.324	45	27	53	45.5	27	53
502	2	0.331	27	63	52	26.5	62.5	52
501	2	0.345	79	55	52	78.5	55	52
500	2	0.327	71	80	51	70.5	80.5	51.5
499	2	0.335	40	70	51	40	70.5	51
498	2	0.345	54	55	51	54.5	55	51
497	2	0.324	49	32	51	49	32.5	51
496	2	0.327	42	59	51	42.5	59	50.5
495	2	0.324	15	38	50	15.5	37.5	50.5
494	2	0.324	28	79	50	28	79	49.5
493	2	0.327	17	44	49	17.5	44	49
492	2	0.338	15	55	49	14.5	55	48.5
491	2	0.324	26	37	48	26	37	48.5
490	2	0.331	74	30	48	74	30	48.5
489	2	0.338	21	64	46	20.5	64	46.5
488	2	0.32	51	57	45	51.5	57.5	45
487	2	0.324	61	55	46	61	55	45.5
486	2	0.32	54	16	45	54.5	16	45
485	2	0.327	57	94	45	57	94	44.5
484	2	0.327	48	15	44	47.5	15.5	44.5
483	2	0.327	45	15	45	45	15	44.5
482	2	0.352	35	92	42	34.5	92	42
481	2	0.327	28	84	42	28.5	84.5	42.5
480	2	0.32	53	67	42	53.5	67	42
479	2	0.349	44	14	42	43.5	13.5	42.5
478	2	0.327	14	68	41	14	67.5	41
477	2	0.335	34	70	40	34	69.5	40
476	2	0.335	66	39	40	66	39	40.5
475	2	0.327	17	39	40	17	39.5	39.5
474	2	0.324	31	62	37	31.5	61.5	37
473	2	0.324	47	86	35	46.5	85.5	35.5
472	2	0.342	42	83	35	42	82.5	35
471	2	0.335	59	58	35	59	57.5	35
470	2	0.32	60	64	33	60.5	64	33
469	2	0.327	12	60	33	12	60.5	33
468	2	0.324	59	55	33	59.5	54.5	33
467	2	0.324	10	53	33	10.5	53	33
466	2	0.327	67	88	32	67	88.5	32
465	2	0.338	64	59	32	63.5	59	32.5
