Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
66	1	0.327	49	67	22	49	67	22
65	1	0.32	40	63	22	40	63	22
64	1	0.324	22	62	22	22	62	22
63	1	0.324	17	62	22	17	62	22
62	1	0.327	42	61	22	42	61	22
61	1	0.32	27	60	22	27	60	22
60	1	0.327	20	46	22	20	46	22
59	1	0.327	49	39	22	49	39	22
58	1	0.32	25	32	22	25	32	22
57	1	0.324	36	66	21	36	66	21
56	1	0.324	30	62	21	30	62	21
55	1	0.32	19	57	21	19	57	21
54	1	0.32	55	52	21	55	52	21
53	1	0.338	20	48	21	20	48	21
52	1	0.335	75	38	21	75	38	21
51	1	0.324	41	38	21	41	38	21
50	1	0.324	48	36	21	48	36	21
49	1	0.324	27	68	20	27	68	20
48	1	0.32	30	59	20	30	59	20
47	1	0.331	40	22	20	40	22	20
46	1	0.327	18	71	19	18	71	19
45	1	0.327	30	69	19	30	69	19
44	1	0.32	74	68	19	74	68	19
43	1	0.324	59	44	19	59	44	19
42	1	0.327	50	42	19	50	42	19
41	1	0.32	29	40	19	29	40	19
40	1	0.324	69	73	18	69	73	18
39	1	0.335	28	65	18	28	65	18
38	1	0.324	56	64	18	56	64	18
37	1	0.324	40	63	18	40	63	18
36	1	0.338	51	53	18	51	53	18
35	1	0.324	56	45	18	56	45	18
34	1	0.324	26	33	18	26	33	18
33	1	0.327	29	32	18	29	32	18
32	1	0.32	60	20	18	60	20	18
31	1	0.335	58	46	17	58	46	17
30	1	0.327	47	42	17	47	42	17
29	1	0.32	35	61	16	35	61	16
28	1	0.32	19	60	16	19	60	16
27	1	0.324	23	25	16	23	25	16
26	1	0.324	41	22	16	41	22	16
25	1	0.338	69	40	15	69	40	15
24	1	0.324	66	39	15	66	39	15
23	1	0.32	37	39	15	37	39	15
22	1	0.324	19	36	15	19	36	15
21	1	0.327	17	36	15	17	36	15
20	1	0.327	71	32	15	71	32	15
19	1	0.324	36	32	15	36	32	15
18	1	0.32	36	30	15	36	30	15
17	1	0.327	18	56	14	18	56	14
16	1	0.32	58	29	14	58	29	14
15	1	0.327	19	59	13	19	59	13
14	1	0.331	49	23	13	49	23	13
13	1	0.331	48	45	12	48	45	12
12	1	0.324	48	35	12	48	35	12
11	1	0.331	43	34	12	43	34	12
10	1	0.327	46	26	12	46	26	12
9	1	0.32	31	25	12	31	25	12
8	1	0.335	52	24	11	52	24	11
7	1	0.324	48	43	10	48	43	10
6	1	0.324	38	37	10	38	37	10
5	1	0.32	42	45	9	42	45	9
4	1	0.324	50	32	7	50	32	7
3	1	0.32	35	40	6	35	40	6
2	1	0.327	30	26	6	30	26	6
1	1	0.324	38	33	4	38	33	4
